TSW	Taylor Swift
FER	Fearless
SPN	Speak Now
RED	Red
NEN	1989
REP	Reputation
LVR	Lover
FOL	Folklore
EVE	Evermore
MID	Midnights
TPD	The Tortured Poets Department
LSG	The Life of a Showgirl
OTH	Other Songs
